Fecha actualizacion: 2025/11/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
418, Montanita San Antonio - Pluviometro, Medellin, NA, 263.480, 243.586, 92.4495
253, Parque 3 Aguas - Pluviometro, Caldas, NA, 266.400, 240.284, 90.1967
211, La Ladera, Medellin, La Ladera, 185.750, 163.000, 87.7524
5, I.E Santa Elena, Medellin, NA, 250.590, 216.916, 86.5621
2, Escuela Rural La Verde, Medellin, NA, 239.220, 203.400, 85.0263
71, CEFA, Medellin, Boston, 172.630, 140.200, 81.2142
23, Instituto Jorge Robledo, Medellin, Carlos E. Restrepo, 208.540, 169.000, 81.0396
29, Escuela Marina Orth, Medellin, NA, 230.520, 186.400, 80.8607
42, Escuela Rural Piedras Gordas, Medellin, NA, 218.100, 174.200, 79.8716
160, Samana - Pluviometro, Samana, NA, 738.680, 573.278, 77.6084
