Fecha actualizacion: 2025/09/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
393, Deprimido Terminal del Norte - Pluviometro, Medellin, Caribe, 192.790, 181.864, 94.3327
23, Instituto Jorge Robledo, Medellin, Carlos E. Restrepo, 131.500, 123.800, 94.1445
395, La Harenala Santa Maria - Pluviometro, Itagui, Santa Maria No. 1, 224.280, 206.756, 92.1866
62, Gimnasio Cantabria, La Estrella, NA, 177.400, 163.322, 92.0643
356, Villa Niza - Pluviometro, Medellin, Villa Niza, 154.050, 138.938, 90.1902
434, Museo de Antioquia - Pluviometro, Medellin, La Candelaria, 190.250, 170.942, 89.8512
451, Heliodora - Pluviometro, Envigado, El Dorado, 215.480, 193.040, 89.5860
61, Planta de Agua Bocatoma, La Estrella, NA, 203.040, 175.514, 86.4431
383, Salinas Caldas - Pluviometro, Caldas, NA, 174.750, 151.000, 86.4092
320, Palmitas Potrera - Pluviometro, Medellin, NA, 181.100, 155.956, 86.1160
2, Escuela Rural La Verde, Medellin, NA, 166.880, 119.000, 71.3087
433, Salada Parte Alta - Pluviometro, Caldas, NA, 240.370, 163.830, 68.1574
418, Montanita San Antonio - Pluviometro, Medellin, NA, 214.710, 145.034, 67.5488
8, Escuela CEDEPRO, Medellin, NA, 147.090, 69.5960, 47.3153
